Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Belarus,BLR,..,..,..,32.58,..,..,33.99,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Belgium,BEL,..,..,..,100,..,..,100,..,..,..,93.81,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Belize,BLZ,..,..,..,41.33,..,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Benin,BEN,..,..,..,12.37,..,..,31.44,..,..,..,41.01,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Bhutan,BTN,..,..,..,29.21,..,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Bolivia,BOL,..,..,..,19.96,..,..,43.05,..,..,..,55.39,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Bosnia and Herzegovina,BIH,..,..,..,38.18,..,..,39.42,..,..,..,57.58,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Botswana,BWA,..,..,..,31.5,..,..,39,..,..,..,..,43.8
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Brazil,BRA,..,..,..,59.95,..,..,62.9,..,..,..,81.28,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Bulgaria,BGR,..,..,..,32.14,..,..,42.14,..,..,..,70.95,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Burkina Faso,BFA,..,..,..,10.56,..,..,37.78,..,..,..,31.69,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Burundi,BDI,..,..,..,4.47,..,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Cabo Verde,CPV,..,..,..,..,..,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Cambodia,KHM,..,..,..,20.02,..,..,18.88,..,..,..,28.77,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Cameroon,CMR,..,..,..,5.65,..,..,26.9,..,..,..,37.2,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Canada,CAN,..,..,..,100,..,..,94.73,..,..,..,90.16,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Central African Republic,CAF,..,..,..,..,..,..,9.93,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Chad,TCD,..,..,..,10.43,..,..,18.39,..,..,..,..,21.98
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Chile,CHL,..,..,..,36.68,..,..,54.18,..,..,..,68.85,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,China,CHN,..,..,..,72.82,..,..,71.39,..,..,..,83.02,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Colombia,COL,..,..,..,19.62,..,..,32.78,..,..,..,48.08,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Comoros,COM,..,..,..,..,..,..,..,..,..,..,..,29.86
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,"Congo, Dem. Rep.",COD,..,..,..,7.67,..,..,17.78,..,..,..,..,11.67
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,"Congo, Rep.",COG,..,..,..,10.73,..,..,16.46,..,..,..,30.69,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Costa Rica,CRI,..,..,..,49.4,..,..,57.26,..,..,..,51.75,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Cote d'Ivoire,CIV,..,..,..,30.05,..,..,34.97,..,..,..,43.99,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Croatia,HRV,..,..,..,65.19,..,..,62.02,..,..,..,80.25,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Cyprus,CYP,..,..,..,86.42,..,..,81.09,..,..,..,87.88,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Czechia,CZE,..,..,..,50,..,..,36.83,..,..,..,86.39,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Denmark,DNK,..,..,..,100,..,..,100,..,..,..,100,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Djibouti,DJI,..,..,..,..,..,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Dominican Republic,DOM,..,..,..,41.27,..,..,43.39,..,..,..,39.37,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Ecuador,ECU,..,..,..,29.88,..,..,40.65,..,..,..,60.21,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,"Egypt, Arab Rep.",EGY,..,..,..,8.4,..,..,31.69,..,..,..,25,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,El Salvador,SLV,..,..,..,24.91,..,..,20.49,..,..,..,27.96,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Estonia,EST,..,..,..,91.6,..,..,94.38,..,..,..,98.39,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Eswatini,SWZ,..,..,..,..,..,..,..,..,..,..,..,56.15
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Ethiopia,ETH,..,..,..,19.37,..,..,29.57,..,..,..,..,38.97
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Fiji,FJI,..,..,..,..,..,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Finland,FIN,..,..,..,100,..,..,99.21,..,..,..,98.31,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,France,FRA,..,..,..,83.36,..,..,79.82,..,..,..,95.87,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Gabon,GAB,..,..,..,22.39,..,..,45.53,..,..,..,52.9,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,"Gambia, The",GMB,..,..,..,..,..,..,22.02,..,..,..,..,24.67
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Georgia,GEO,..,..,..,35.01,..,..,34.11,..,..,..,41.71,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Germany,DEU,..,..,..,97.64,..,..,100,..,..,..,100,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Ghana,GHA,..,..,..,24.87,..,..,49.39,..,..,..,51.59,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Greece,GRC,..,..,..,89.64,..,..,86.9,..,..,..,91.83,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Guatemala,GTM,..,..,..,26.19,..,..,32.72,..,..,..,..,29.04
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Guinea,GIN,..,..,..,3.09,..,..,17.05,..,..,..,22.02,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Guinea-Bissau,GNB,..,..,..,..,..,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Guyana,GUY,..,..,..,..,..,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Haiti,HTI,..,..,..,11.11,..,..,17.03,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Honduras,HND,..,..,..,21.41,..,..,36.78,..,..,..,31.83,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,"Hong Kong SAR, China",HKG,..,..,..,92.71,..,..,87.06,..,..,..,96.14,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Hungary,HUN,..,..,..,44.97,..,..,55.83,..,..,..,71.58,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Iceland,ISL,..,..,..,..,..,..,..,..,..,..,100,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,India,IND,..,..,..,43.35,..,..,75.37,..,..,..,75.9,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Indonesia,IDN,..,..,..,15.78,..,..,33.6,..,..,..,40.49,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,"Iran, Islamic Rep.",IRN,..,..,..,90.88,..,..,90.36,..,..,..,83.86,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Iraq,IRQ,..,..,..,9.36,..,..,19.11,..,..,..,15.48,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Ireland,IRL,..,..,..,70.97,..,..,84.24,..,..,..,100,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Israel,ISR,..,..,..,83.69,..,..,88.29,..,..,..,62.76,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Italy,ITA,..,..,..,79.48,..,..,92.01,..,..,..,97.25,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Jamaica,JAM,..,..,..,70.49,..,..,..,..,..,..,59.94,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Japan,JPN,..,..,..,83.66,..,..,91.43,..,..,..,94.1,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Jordan,JOR,..,..,..,18.23,..,..,37.07,..,..,..,38.71,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Kazakhstan,KAZ,..,..,..,28.01,..,..,29.64,..,..,..,61.88,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Kenya,KEN,..,..,..,64.17,..,..,67.41,..,..,..,61.02,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Kiribati,KIR,..,..,..,..,..,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,"Korea, Rep.",KOR,..,..,..,90.73,..,..,83.28,..,..,..,95.56,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Kosovo,XKX,..,..,..,35.87,..,..,42.07,..,..,..,46.56,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Kuwait,KWT,..,..,..,47.7,..,..,27.79,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Kyrgyz Republic,KGZ,..,..,..,5.4,..,..,24.44,..,..,..,28.94,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Lao PDR,LAO,..,..,..,..,..,..,22.12,..,..,..,28.72,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Latvia,LVA,..,..,..,74.26,..,..,79.39,..,..,..,90.98,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Lebanon,LBN,..,..,..,32.69,..,..,31.19,..,..,..,15.51,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Lesotho,LSO,..,..,..,..,..,..,37.06,..,..,..,..,55.49
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Liberia,LBR,..,..,..,..,..,..,25.5,..,..,..,42.85,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Libya,LBY,..,..,..,..,..,..,40.69,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Lithuania,LTU,..,..,..,40.07,..,..,61.33,..,..,..,74.08,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Luxembourg,LUX,..,..,..,98.87,..,..,95.73,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Madagascar,MDG,..,..,..,4.57,..,..,13.51,..,..,..,..,20.23
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Malawi,MWI,..,..,..,12.47,..,..,25.35,..,..,..,33.32,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Malaysia,MYS,..,..,..,58.6,..,..,69.99,..,..,..,71.67,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Maldives,MDV,..,..,..,..,..,..,72.09,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Mali,MLI,..,..,..,16.61,..,..,28.39,..,..,..,38.57,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Malta,MLT,..,..,..,90.93,..,..,97.73,..,..,..,93.37,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Mauritania,MRT,..,..,..,18,..,..,14.44,..,..,..,..,17.48
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Mauritius,MUS,..,..,..,76.26,..,..,88.35,..,..,..,85.18,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Mexico,MEX,..,..,..,30.03,..,..,24.48,..,..,..,..,31.79
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Moldova,MDA,..,..,..,2.18,..,..,21.66,..,..,..,39.95,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Mongolia,MNG,..,..,..,77.73,..,..,85,..,..,..,96.53,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Montenegro,MNE,..,..,..,34.73,..,..,43.18,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Morocco,MAR,..,..,..,..,..,..,22.74,..,..,..,36.91,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Mozambique,MOZ,..,..,..,..,..,..,34.61,..,..,..,39.11,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Myanmar,MMR,..,..,..,20.74,..,..,23.61,..,..,..,26.25,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Namibia,NAM,..,..,..,42.97,..,..,73.47,..,..,..,61.29,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Nepal,NPL,..,..,..,29.62,..,..,41.84,..,..,..,51,..
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,Netherlands,NLD,..,..,..,100,..,..,100,..,..,..,100,..
